epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.025,0.58667,0.6465,1.0662,0.94529,0.86627,0.95896,0.83495,0.54011,0.49549,0.97572,0.000473687,0.000473687,0.000473687
2,1943.88,0.62648,0.67781,1.08353,0.90516,0.85753,0.95081,0.80181,0.62194,0.57555,1.03363,0.000887319,0.000887319,0.000887319
3,2958.61,0.67419,0.72216,1.10791,0.8576,0.85203,0.92163,0.77782,0.63028,0.62528,1.04169,0.00123808,0.00123808,0.00123808
4,3972.92,0.66473,0.72103,1.09699,0.86962,0.85777,0.92716,0.74927,0.69148,0.68097,1.10941,0.00114606,0.00114606,0.00114606
5,4990.6,0.65807,0.68396,1.09479,0.87993,0.85089,0.91715,0.77514,0.62737,0.63389,1.06098,0.00105174,0.00105174,0.00105174
6,5992.11,0.49974,0.49842,0.98907,0.9217,0.87854,0.95665,0.80216,0.61743,0.57154,1.03523,0.00095743,0.00095743,0.00095743
7,6991.41,0.47936,0.44279,0.97066,0.8528,0.87741,0.91641,0.77747,0.58273,0.60224,1.00893,0.000863116,0.000863116,0.000863116
8,7990.44,0.44194,0.40414,0.94434,0.88428,0.89152,0.93515,0.7894,0.57459,0.57033,1.02124,0.000768802,0.000768802,0.000768802
9,8991.8,0.42137,0.38611,0.9267,0.94538,0.89658,0.97155,0.84634,0.54576,0.45652,0.98976,0.000674488,0.000674488,0.000674488
10,9992.33,0.40683,0.35018,0.92405,0.92696,0.88244,0.95196,0.82893,0.52566,0.50205,0.98046,0.000580174,0.000580174,0.000580174
11,10988.5,0.38788,0.3249,0.91041,0.92988,0.92929,0.96254,0.84814,0.52937,0.45738,0.99064,0.00048586,0.00048586,0.00048586
12,11989.9,0.36801,0.30121,0.90121,0.93733,0.90303,0.96808,0.85769,0.51299,0.43006,0.97434,0.000391546,0.000391546,0.000391546
13,12994.1,0.35344,0.27567,0.88566,0.96503,0.88863,0.96698,0.86471,0.49332,0.43561,0.96687,0.000297232,0.000297232,0.000297232
14,13994.3,0.33265,0.25886,0.87494,0.95414,0.89002,0.96978,0.87219,0.47749,0.40531,0.95071,0.000202918,0.000202918,0.000202918
15,14995.4,0.31656,0.23754,0.86883,0.95884,0.89079,0.97009,0.87671,0.46785,0.39236,0.94543,0.000108604,0.000108604,0.000108604
